condition,group_type,group_value,utterances,reference_words,word_edits,wer,reference_characters,character_edits,cer
k1,overall,all,100,236,308,1.305084745762712,976,944,0.9672131147540983
k1,severity,severe,100,236,308,1.305084745762712,976,944,0.9672131147540983
k1,speaker,F01,100,236,308,1.305084745762712,976,944,0.9672131147540983
k2,overall,all,100,236,247,1.0466101694915255,976,728,0.7459016393442623
k2,severity,severe,100,236,247,1.0466101694915255,976,728,0.7459016393442623
k2,speaker,F01,100,236,247,1.0466101694915255,976,728,0.7459016393442623
k4,overall,all,100,236,200,0.847457627118644,976,605,0.6198770491803278
k4,severity,severe,100,236,200,0.847457627118644,976,605,0.6198770491803278
k4,speaker,F01,100,236,200,0.847457627118644,976,605,0.6198770491803278
k6,overall,all,100,236,196,0.8305084745762712,976,571,0.5850409836065574
k6,severity,severe,100,236,196,0.8305084745762712,976,571,0.5850409836065574
k6,speaker,F01,100,236,196,0.8305084745762712,976,571,0.5850409836065574
k8,overall,all,100,236,176,0.7457627118644068,976,543,0.5563524590163934
k8,severity,severe,100,236,176,0.7457627118644068,976,543,0.5563524590163934
k8,speaker,F01,100,236,176,0.7457627118644068,976,543,0.5563524590163934
original,overall,all,100,236,183,0.7754237288135594,976,526,0.5389344262295082
original,severity,severe,100,236,183,0.7754237288135594,976,526,0.5389344262295082
original,speaker,F01,100,236,183,0.7754237288135594,976,526,0.5389344262295082
