condition,group_type,group_value,utterances,reference_words,word_edits,wer,reference_characters,character_edits,cer
k1,overall,all,1140,2850,4559,1.5996491228070175,12365,14467,1.1699959563283462
k1,severity,severe,1140,2850,4559,1.5996491228070175,12365,14467,1.1699959563283462
k1,speaker,F01,114,278,356,1.2805755395683454,1158,1114,0.9620034542314335
k1,speaker,M01,369,925,1449,1.5664864864864865,4046,4619,1.1416213544241225
k1,speaker,M02,385,949,1445,1.5226554267650159,4161,4683,1.1254506128334536
k1,speaker,M04,272,698,1309,1.8753581661891117,3000,4051,1.3503333333333334
k2,overall,all,1140,2850,4123,1.4466666666666668,12365,12440,1.0060655074807925
k2,severity,severe,1140,2850,4123,1.4466666666666668,12365,12440,1.0060655074807925
k2,speaker,F01,114,278,277,0.9964028776978417,1158,849,0.7331606217616581
k2,speaker,M01,369,925,1287,1.3913513513513514,4046,3707,0.9162135442412259
k2,speaker,M02,385,949,1125,1.1854583772391991,4161,3661,0.8798365777457342
k2,speaker,M04,272,698,1434,2.054441260744986,3000,4223,1.4076666666666666
k4,overall,all,1140,2850,3587,1.2585964912280703,12365,10362,0.8380105135463001
k4,severity,severe,1140,2850,3587,1.2585964912280703,12365,10362,0.8380105135463001
k4,speaker,F01,114,278,230,0.8273381294964028,1158,704,0.6079447322970639
k4,speaker,M01,369,925,944,1.0205405405405406,4046,3145,0.7773109243697479
k4,speaker,M02,385,949,983,1.035827186512118,4161,2648,0.6363854842585916
k4,speaker,M04,272,698,1430,2.048710601719198,3000,3865,1.2883333333333333
k6,overall,all,1140,2850,3018,1.0589473684210526,12365,8660,0.7003639304488476
k6,severity,severe,1140,2850,3018,1.0589473684210526,12365,8660,0.7003639304488476
k6,speaker,F01,114,278,222,0.7985611510791367,1158,660,0.5699481865284974
k6,speaker,M01,369,925,1028,1.1113513513513513,4046,2908,0.7187345526445873
k6,speaker,M02,385,949,747,0.7871443624868283,4161,2663,0.6399903869262197
k6,speaker,M04,272,698,1021,1.4627507163323783,3000,2429,0.8096666666666666
k8,overall,all,1140,2850,2700,0.9473684210526315,12365,7651,0.6187626364739183
k8,severity,severe,1140,2850,2700,0.9473684210526315,12365,7651,0.6187626364739183
k8,speaker,F01,114,278,200,0.7194244604316546,1158,619,0.5345423143350605
k8,speaker,M01,369,925,799,0.8637837837837837,4046,2590,0.6401384083044983
k8,speaker,M02,385,949,698,0.7355110642781876,4161,2004,0.4816149963950973
k8,speaker,M04,272,698,1003,1.4369627507163323,3000,2438,0.8126666666666666
original,overall,all,1140,2850,2655,0.9315789473684211,12365,6767,0.5472705216336433
original,severity,severe,1140,2850,2655,0.9315789473684211,12365,6767,0.5472705216336433
original,speaker,F01,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
original,speaker,M01,369,925,812,0.8778378378378379,4046,2387,0.5899653979238755
original,speaker,M02,385,949,617,0.6501580611169653,4161,1688,0.4056717135304013
original,speaker,M04,272,698,1015,1.4541547277936964,3000,2075,0.6916666666666667
