condition,group_type,group_value,utterances,reference_words,word_edits,wer,reference_characters,character_edits,cer
k1,overall,all,1,1,1,1.0,4,2,0.5
k1,severity,control,1,1,1,1.0,4,2,0.5
k1,speaker,FC03,1,1,1,1.0,4,2,0.5
k2,overall,all,1,1,0,0.0,4,0,0.0
k2,severity,control,1,1,0,0.0,4,0,0.0
k2,speaker,FC03,1,1,0,0.0,4,0,0.0
k4,overall,all,1,1,0,0.0,4,0,0.0
k4,severity,control,1,1,0,0.0,4,0,0.0
k4,speaker,FC03,1,1,0,0.0,4,0,0.0
k6,overall,all,1,1,0,0.0,4,0,0.0
k6,severity,control,1,1,0,0.0,4,0,0.0
k6,speaker,FC03,1,1,0,0.0,4,0,0.0
k8,overall,all,1,1,0,0.0,4,0,0.0
k8,severity,control,1,1,0,0.0,4,0,0.0
k8,speaker,FC03,1,1,0,0.0,4,0,0.0
original,overall,all,1,1,1,1.0,4,1,0.25
original,severity,control,1,1,1,1.0,4,1,0.25
original,speaker,FC03,1,1,1,1.0,4,1,0.25
