condition,group_type,group_value,utterances,reference_words,word_edits,wer,reference_characters,character_edits,cer
k1,overall,all,114,278,286,1.0287769784172662,1158,855,0.7383419689119171
k1,severity,severe,114,278,286,1.0287769784172662,1158,855,0.7383419689119171
k1,speaker,F01,114,278,286,1.0287769784172662,1158,855,0.7383419689119171
k2,overall,all,114,278,270,0.9712230215827338,1158,798,0.689119170984456
k2,severity,severe,114,278,270,0.9712230215827338,1158,798,0.689119170984456
k2,speaker,F01,114,278,270,0.9712230215827338,1158,798,0.689119170984456
k4,overall,all,114,278,237,0.8525179856115108,1158,714,0.616580310880829
k4,severity,severe,114,278,237,0.8525179856115108,1158,714,0.616580310880829
k4,speaker,F01,114,278,237,0.8525179856115108,1158,714,0.616580310880829
k6,overall,all,114,278,229,0.8237410071942446,1158,660,0.5699481865284974
k6,severity,severe,114,278,229,0.8237410071942446,1158,660,0.5699481865284974
k6,speaker,F01,114,278,229,0.8237410071942446,1158,660,0.5699481865284974
k8,overall,all,114,278,217,0.7805755395683454,1158,662,0.5716753022452504
k8,severity,severe,114,278,217,0.7805755395683454,1158,662,0.5716753022452504
k8,speaker,F01,114,278,217,0.7805755395683454,1158,662,0.5716753022452504
original,overall,all,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
original,severity,severe,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
original,speaker,F01,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
