condition,group_type,group_value,utterances,reference_words,word_edits,wer,reference_characters,character_edits,cer
k1,overall,all,1,1,1,1.0,5,1,0.2
k1,severity,severe,1,1,1,1.0,5,1,0.2
k1,speaker,F01,1,1,1,1.0,5,1,0.2
k2,overall,all,1,1,1,1.0,5,1,0.2
k2,severity,severe,1,1,1,1.0,5,1,0.2
k2,speaker,F01,1,1,1,1.0,5,1,0.2
k4,overall,all,1,1,1,1.0,5,1,0.2
k4,severity,severe,1,1,1,1.0,5,1,0.2
k4,speaker,F01,1,1,1,1.0,5,1,0.2
k6,overall,all,1,1,1,1.0,5,3,0.6
k6,severity,severe,1,1,1,1.0,5,3,0.6
k6,speaker,F01,1,1,1,1.0,5,3,0.6
k8,overall,all,1,1,1,1.0,5,3,0.6
k8,severity,severe,1,1,1,1.0,5,3,0.6
k8,speaker,F01,1,1,1,1.0,5,3,0.6
original,overall,all,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
original,severity,severe,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
original,speaker,F01,114,278,211,0.7589928057553957,1158,617,0.5328151986183074
