line_number,utt_id,audio,text_raw,reason
1728,F04-Session2-headMic-0001,/F04/Session2/wav_headMic/0001.wav,SHOOT,speaker_excluded_by_protocol
1729,F04-Session2-headMic-0002,/F04/Session2/wav_headMic/0002.wav,I LOOKED UP AND NOTICED TWO OLD MEN,speaker_excluded_by_protocol
1730,F04-Session2-headMic-0003,/F04/Session2/wav_headMic/0003.wav,SLAY,speaker_excluded_by_protocol
1731,F04-Session2-headMic-0004,/F04/Session2/wav_headMic/0004.wav,WILL ROBIN WEAR A YELLOW LILY,speaker_excluded_by_protocol
1732,F04-Session2-headMic-0005,/F04/Session2/wav_headMic/0005.wav,I WAS CONSCIOUS ALL THE TIME,speaker_excluded_by_protocol
1733,F04-Session2-headMic-0006,/F04/Session2/wav_headMic/0006.wav,PRIOR,speaker_excluded_by_protocol
1734,F04-Session2-headMic-0007,/F04/Session2/wav_headMic/0007.wav,PLAY,speaker_excluded_by_protocol
1735,F04-Session2-headMic-0008,/F04/Session2/wav_headMic/0008.wav,BRIAR,speaker_excluded_by_protocol
1736,F04-Session2-headMic-0009,/F04/Session2/wav_headMic/0009.wav,HE WILL ALLOW A RARE LILYRARE LIE,speaker_excluded_by_protocol
1737,F04-Session2-headMic-0010,/F04/Session2/wav_headMic/0010.wav,SHEAR,speaker_excluded_by_protocol
1738,F04-Session2-headMic-0011,/F04/Session2/wav_headMic/0011.wav,SUIT,speaker_excluded_by_protocol
1739,F04-Session2-headMic-0013,/F04/Session2/wav_headMic/0013.wav,ALL THE BIG BASEBALL PLAYERS GET TRADED,speaker_excluded_by_protocol
1740,F04-Session2-headMic-0014,/F04/Session2/wav_headMic/0014.wav,THIS WAS EASY FOR US,speaker_excluded_by_protocol
1741,F04-Session2-headMic-0015,/F04/Session2/wav_headMic/0015.wav,FEAR,speaker_excluded_by_protocol
1742,F04-Session2-headMic-0016,/F04/Session2/wav_headMic/0016.wav,FEAR,speaker_excluded_by_protocol
1743,F04-Session2-headMic-0017,/F04/Session2/wav_headMic/0017.wav,SPRINKLE,speaker_excluded_by_protocol
1744,F04-Session2-headMic-0018,/F04/Session2/wav_headMic/0018.wav,SNOOP,speaker_excluded_by_protocol
