rotation,rvq_layer,probe,value
rotation_01,1,dysarthria,0.5900900900900902
rotation_01,1,phoneme_boundary,0.44064517689164034
rotation_01,1,phoneme_ctc,0.28646541564681355
rotation_01,2,dysarthria,0.5871762107213263
rotation_01,2,phoneme_boundary,0.3460478210717707
rotation_01,2,phoneme_ctc,0.8417187924938809
rotation_01,3,dysarthria,0.5775867770442663
rotation_01,3,phoneme_boundary,0.3504524574650553
rotation_01,3,phoneme_ctc,0.756595050312755
rotation_01,4,dysarthria,0.5325172283041644
rotation_01,4,phoneme_boundary,0.34873507025179357
rotation_01,4,phoneme_ctc,0.8432599039071706
rotation_01,5,dysarthria,0.5872873597560743
rotation_01,5,phoneme_boundary,0.33465354003998343
rotation_01,5,phoneme_ctc,0.7417278578551355
rotation_01,6,dysarthria,0.6057112905577691
rotation_01,6,phoneme_boundary,0.3379366368805849
rotation_01,6,phoneme_ctc,0.8384552624422084
rotation_01,7,dysarthria,0.5394762308871917
rotation_01,7,phoneme_boundary,0.3268633106913557
rotation_01,7,phoneme_ctc,0.8263076783609827
rotation_01,8,dysarthria,0.6380788221258964
rotation_01,8,phoneme_boundary,0.32219656516091794
rotation_01,8,phoneme_ctc,0.8055480010878433
rotation_02,1,dysarthria,0.7864650924467133
rotation_02,1,phoneme_boundary,0.3497425785956841
rotation_02,1,phoneme_ctc,0.5044048350747797
rotation_02,2,dysarthria,0.39014182748198095
rotation_02,2,phoneme_boundary,0.35744433124727115
rotation_02,2,phoneme_ctc,0.8575087072321246
rotation_02,3,dysarthria,0.4274447312310628
rotation_02,3,phoneme_boundary,0.3337576374745418
rotation_02,3,phoneme_ctc,0.8354845318582258
rotation_02,4,dysarthria,0.47675640076975756
rotation_02,4,phoneme_boundary,0.33825765804909846
rotation_02,4,phoneme_ctc,0.8573038311821348
rotation_02,5,dysarthria,0.32775659849226385
rotation_02,5,phoneme_boundary,0.30818195932308645
rotation_02,5,phoneme_ctc,0.7824216349108789
rotation_02,6,dysarthria,0.504711622863634
rotation_02,6,phoneme_boundary,0.30702689892167323
rotation_02,6,phoneme_ctc,0.8644744929317763
rotation_02,7,dysarthria,0.4584055971620023
rotation_02,7,phoneme_boundary,0.30745171314255537
rotation_02,7,phoneme_ctc,0.855459946732227
rotation_02,8,dysarthria,0.45961593827373753
rotation_02,8,phoneme_boundary,0.3197260669568267
rotation_02,8,phoneme_ctc,0.8374308543331285
rotation_03,1,dysarthria,0.7725650702138506
rotation_03,1,phoneme_boundary,0.3909106015287472
rotation_03,1,phoneme_ctc,0.3631475633694632
rotation_03,2,dysarthria,0.7928685343363164
rotation_03,2,phoneme_boundary,0.2765062495322207
rotation_03,2,phoneme_ctc,0.849534863873005
rotation_03,3,dysarthria,0.8163911679794399
rotation_03,3,phoneme_boundary,0.28333409204716165
rotation_03,3,phoneme_ctc,0.7891098404028335
rotation_03,4,dysarthria,0.8272716312341759
rotation_03,4,phoneme_boundary,0.27052666484047233
rotation_03,4,phoneme_ctc,0.8321242638900742
rotation_03,5,dysarthria,0.5857175123152005
rotation_03,5,phoneme_boundary,0.26924294305527585
rotation_03,5,phoneme_ctc,0.7550567551421012
rotation_03,6,dysarthria,0.6566503840397362
rotation_03,6,phoneme_boundary,0.27363349896982186
rotation_03,6,phoneme_ctc,0.8222241188017411
rotation_03,7,dysarthria,0.5896440067272375
rotation_03,7,phoneme_boundary,0.26373024114457133
rotation_03,7,phoneme_ctc,0.8332337629085943
rotation_03,8,dysarthria,0.6804579755399427
rotation_03,8,phoneme_boundary,0.2670423851308931
rotation_03,8,phoneme_ctc,0.8083127080310659
rotation_04,1,dysarthria,0.8917146819387145
